id,question,skill,choice1,choice2,choice3,choice4,correct_choice,explanation1,explanation2,explanation3,explanation4,category,status
18695,What event marks the birth of Jesus Christ and is celebrated on December 25th every year?,medium,Easter,Christmas,Pentecost,All Saints' Day,2,Easter celebrates the resurrection of Jesus Christ.,Christmas celebrates the birth of Jesus Christ on December 25th.,Pentecost celebrates the descent of the Holy Spirit upon the apostles and followers of Jesus Christ.,All Saints' Day is a day when Christians commemorate and honor saints and martyrs.,Key Christian Events,draft
18696,Which disciple of Jesus betrayed him for thirty pieces of silver?,medium,Peter,Andrew,Judas Iscariot,John,3,Peter was one of Jesus' closest and most trusted disciples.,Andrew was the brother of Peter and was also a disciple of Jesus.,Judas Iscariot was a disciple of Jesus who betrayed him to the authorities for thirty pieces of silver.,"John was another of Jesus' trusted disciples, who was present at the crucifixion.",Key Christian Events,draft
18697,What is the significance of the year 33 AD in Christianity?,medium,It is the year when Jesus was born,It is the year when Jesus was crucified and resurrected,It is the year when the Church of Rome was established,It is the year when the first Christian Bible was written,2,Incorrect. Jesus was likely born around 4 BC.,"Correct. According to Christian tradition, Jesus was crucified and resurrected in the year 33 AD.","Incorrect. The Church of Rome was established much later, in the 4th century AD.","Incorrect. The first Christian Bible was composed over several centuries, with the final books being written in the late 1st or early 2nd century AD.",Key Christian Events,draft
18698,What is the name of the event that commemorates the birth of Jesus Christ?,medium,Easter,Christmas,Pentecost,Passover,2,Incorrect. Easter commemorates the resurrection of Jesus Christ.,Correct! Christmas is widely celebrated as the birth of Jesus Christ.,Incorrect. Pentecost commemorates the descent of the Holy Spirit upon the Apostles.,Incorrect. Passover commemorates the liberation of the Israelites from slavery in ancient Egypt.,Key Christian Events,Draft
18699,Which event marks the beginning of the Christian church?,medium,The Great Schism,The Council of Nicaea,The Crucifixion of Jesus,The Pentecost,4,"The Great Schism refers to the split between the Eastern and Western branches of Christianity, which occurred much later.","The Council of Nicaea was important for the development of Christian doctrine, but did not mark the beginning of the church.","The Crucifixion of Jesus was a significant event in Christian history, but it did not mark the beginning of the church.","The Pentecost marks the day when the Holy Spirit descended upon Jesus' disciples, empowering them to spread his message and forming the beginning of the Christian church.",Key Christian Events,draft
18700,Which book of the Bible tells the story of Ruth?,medium,Genesis,Exodus,Ruth,Judges,3,Genesis is the first book of the Bible.,Exodus tells the story of Moses and the Israelites' escape from Egypt.,Ruth tells the story of a Moabite woman who becomes part of the Israelite family through marriage.,"Judges tells the story of the Israelites under their leaders, known as judges.",Books of the Bible,draft
18701,Which book of the Bible contains the story of Esther?,medium,Exodus,Esther,Ezra,Nehemiah,2,Exodus contains the story of Moses and the Israelites' journey out of Egypt.,The book of Esther tells the story of a Jewish woman who becomes queen and saves her people from genocide.,Ezra and Nehemiah tell the story of Israel's return from exile in Babylon.,Nehemiah tells the story of the rebuilding of the walls of Jerusalem after Israel's return from exile.,Books of the Bible,Draft
18702,In which book of the Bible can we read about the story of Samson and Delilah?,medium,Book of Judges,Book of Ruth,Book of Esther,Book of Daniel,1,"The story of Samson and Delilah can be found in the Book of Judges, specifically in chapters 13-16.",The Book of Ruth is about the loyalty and obedience of Ruth to her mother-in-law Naomi.,"The Book of Esther is about the bravery of Esther, a Jewish woman, who became queen of Persia and saved her people from destruction.",The Book of Daniel tells the story of a Jewish man named Daniel who was taken captive by the Babylonians and served in the court of King Nebuchadnezzar.,Books of the Bible,draft
18703,In which book of the Bible did God tell Moses the Ten Commandments?,medium,Exodus,Deuteronomy,Leviticus,Genesis,1,Exodus 20:1-17 records the Ten Commandments that God spoke to Moses on Mount Sinai.,Deuteronomy contains the retelling of the commandments to the new generation of Israelites who were about to enter the Promised Land.,Leviticus describes the regulations and procedures for worship and sacrifice in the tabernacle.,Genesis is the first book of the Bible that tells the story of creation and the origins of humanity.,Books of the Bible,draft
18704,"Which book of the Bible is a letter written by the apostle Paul to Philemon, urging him to forgive his runaway slave, Onesimus?",medium,Titus,1 Timothy,2 Timothy,Philemon,4,"The book of Titus is a letter written by the apostle Paul to Titus, a Greek Christian leader.","The book of 1 Timothy is a letter written by the apostle Paul to his younger colleague, Timothy, whom he had left to lead the Christian church in Ephesus.","The book of 2 Timothy is a letter written by Paul to Timothy, his beloved son and faithful disciple.","The book of Philemon is a personal letter written by Paul to his friend Philemon, urging him to forgive his runaway slave Onesimus and accept him back as a brother in Christ.",Books of the Bible,draft
18705,"In the parable of the Good Samaritan, who were the two people who walked past the man that was beaten and robbed?",medium,A priest and a Levite,A Pharisee and a scribe,A rich man and a tax collector,A Roman soldier and a merchant,1,"The parable of the Good Samaritan tells the story of a man who was beaten and robbed, left on the side of the road. The first two people to pass him were a priest and a Levite, both of whom chose to ignore him.","The Pharisees and scribes were often at odds with Jesus and his teachings, but they are not mentioned in the parable of the Good Samaritan.",The rich man and tax collector are not mentioned in the parable of the Good Samaritan.,The Roman soldier and merchant are not mentioned in the parable of the Good Samaritan.,Parables of Jesus,Draft
18706,What is the lesson taught in the Parable of the Talents?,medium,To use your talents to pursue your own interests.,To hide your talents away to avoid criticism.,To use your talents to serve others and glorify God.,To sell your talents to make a profit.,3,This choice goes against the key message of the parable.,This choice demonstrates fear and a lack of faith.,"This choice aligns with the parable's message to use our abilities to serve God and others, and not just for our own benefit.",This choice goes against the key message of the parable.,Parables of Jesus,draft
18707,What is the meaning of the Parable of the Prodigal Son?,medium,It's about a father who loves his two sons equally,It's about a son who wastes his inheritance and repents,It's about a son who manipulates his father to get what he wants,It's about a father who disowns his son for being disobedient,2,"While the Parable of the Prodigal Son does involve a father and two sons, the focus is primarily on the younger son who squanders his inheritance and comes to his senses after hitting rock bottom.","Correct! The Parable of the Prodigal Son teaches about God's mercy and forgiveness, even for those who have made grave mistakes.","This is not the correct answer. The younger son in the parable does take advantage of his father's generosity, but the story is not a lesson on manipulation.","No, the father in the story does not disown his son. In fact, he welcomes him back with open arms and celebrates his return.",Parables of Jesus,draft
18708,"In the parable of the sower, what does the seed that falls on the thorny ground represent?",medium,The people who are easily influenced by false teachings.,The people who hear the word of God but do not understand it.,The people who receive the word of God but do not bear fruit.,The people who hear the word of God but are choked by the cares and riches of this world.,4,"This choice is incorrect because it relates to the sower who sows the seed, not the seed itself.","This choice refers to the seed that falls on the hard ground, not the thorny ground.",This choice refers to the seed that falls on the good soil and produces fruit.,Correct! The Bible describes this as the seed that is choked by the cares and riches of this world and does not produce fruit.,Parables of Jesus,draft
18709,What is the message of the Parable of the Good Samaritan?,medium,There is no such thing as a good Samaritan,Everyone in need should be helped regardless of race or religion,Samaritans are bad people,Only help those who are in your own community and faith,2,This choice is incorrect because there is such a thing as a good Samaritan as evidenced by the parable,"This choice is the correct answer because the parable teaches us that we should show compassion to everyone, regardless of race or religion",This choice is incorrect because the Samaritan in the parable demonstrated kindness,This choice is incorrect because helping only those in your community and faith goes against the message of the parable,Parables of Jesus,draft
18710,What miracle did Jesus perform for his disciples in the Sea of Galilee?,medium,He turned water into wine,"He fed 5,000 people with five loaves and two fish",He raised Lazarus from the dead,He walked on water,4,"This miracle took place at the wedding in Cana, not in the Sea of Galilee.","This miracle also took place on land, not in the Sea of Galilee.","This miracle took place in Bethany, not in the Sea of Galilee.","This is the correct answer. Jesus walked on water in the Sea of Galilee, showing his divine power and the trust his disciples had in him.",Bible Miracles,draft
18711,"In what way did Jesus miraculously feed 5,000 people?",medium,He multiplied seven loaves of bread and a few small fish,He turned water into wine and the crowd drank and became satisfied,He called down manna from heaven to feed the people,He did not feed them miraculously but instead directed them to a town where they could buy food,1,Jesus multiplied the fishes and bread to feed the five thousand people who had gathered to listen to his teachings.,"This is not correct. Although Jesus turned water into wine at a wedding in Cana, this miracle had nothing to do with feeding 5,000 people.","This is not correct. Although manna from heaven was a miracle recorded in the Bible, it had nothing to do with feeding the 5,000 people.","This is not correct. Jesus performed a miraculous feeding where 5,000 people were fed by only 5 loaves of bread and 2 fish.",Bible Miracles,draft
18712,In which miracle did Jesus turn water into wine?,medium,Cleansing a Leper,Healing a Paralyzed Man,Feeding the 5000,Turning Water into Wine,4,Cleansing a Leper was a miracle where Jesus healed a person who had leprosy.,Healing a Paralyzed Man was a miracle where Jesus healed a person who was paralyzed and couldn't walk.,Feeding the 5000 was a miracle where Jesus fed a large group of people with just a few loaves of bread and fish.,Turning Water into Wine was a miracle where Jesus turned water into wine at a wedding in Cana.,Bible Miracles,Draft
18713,Which miracle did Jesus perform for a blind man in Bethsaida?,medium,Healing the man's eyes with his saliva,Touching the man's eyes with his hands,Rubbing mud in the man's eyes,Asking the man to wash his eyes in the pool of Siloam,4,There is no account of Jesus healing a blind man with his saliva.,"Though touching the eyes of a blind man is a common method used in healing during that time, it is not the miracle that was performed in Bethsaida.",Rubbing mud was part of a miracle Jesus performed for a different blind man in John 9.,"According to Mark 8:22-26, when Jesus laid his hands on the man's eyes and asked him to look up, the man's sight was restored partly, and Jesus had to touch his eyes again before he could see clearly. Jesus then instructed the man to go wash his eyes in the pool of Siloam.",Bible Miracles,draft
18714,In which miracle did Jesus heal a man born blind?,medium,"Feeding of the 5,000",Turning water into wine,Healing of the lepers,Healing the blind man of Bethsaida,4,"This is incorrect. The feeding of the 5,000 miracle is when Jesus feeds 5,000 people with only five loaves of bread and two fish.",This is incorrect. The turning water into wine miracle is when Jesus changes water into wine at a wedding in Cana.,This is incorrect. The healing of the lepers miracle is when Jesus healed 10 lepers but only one thanked and praised God.,This is correct. The healing the blind man of Bethsaida is when Jesus heals a man born blind. (John 9:1-41),Bible Miracles,draft
18715,What does the dove symbolize in Christian art and literature?,medium,The Holy Spirit,Humility,Sacrifice,Love,1,"In Christian art and literature, the dove is a symbol of the Holy Spirit, which descended upon Jesus during his baptism in the Jordan River.","While humility is an important Christian value, it is not typically symbolized by a dove in Christian art and literature.","Sacrifice is an important Christian concept, but it is not typically symbolized by a dove in Christian art and literature.","Love is an important aspect of Christian faith, but it is not typically symbolized by a dove in Christian art and literature.",Christian Symbols,draft
18716,What do the three points of the Trinity symbol represent?,medium,"The Father, the Son, and the Holy Spirit","The Holy Spirit, the crown, and the cross","The Father, the Son, and the Bible","The Bible, the Holy Spirit, and the cross",1,"The Trinity symbol, also known as the Triquetra, represents the Father, the Son, and the Holy Spirit in Christian theology.","The crown, the cross, and the Holy Spirit are all important symbols in Christianity, but they are not the three points of the Trinity symbol.","While the Bible is an important symbol in Christianity, it is not represented in the three points of the Trinity symbol.","The cross and the Holy Spirit are both important symbols in Christianity, but they are not part of the three points of the Trinity symbol.",Christian Symbols,Draft
18717,What does the Christian symbol of the dove represent?,medium,Eternal life,Creation,The Holy Spirit,The Resurrection,3,Incorrect. Eternal life is often represented by other symbols like the vine or the fish.,Incorrect. Creation is often represented by the globe or the world surrounded by water.,"Correct! The dove is commonly seen as a symbol of the Holy Spirit, as it is believed to have descended from heaven at the baptism of Jesus.",Incorrect. The Resurrection is often represented by the butterfly or phoenix.,Christian Symbols,draft
18718,What is the significance of the cross in Christianity?,medium,It represents the power of the Roman Empire.,It symbolizes the violent death of Jesus on the cross.,It represents the ancient Egyptian ankh symbol.,It is a symbol of good luck and prosperity.,2,Incorrect. The cross has no connection with the power of the Roman Empire.,Correct. The cross is a symbol of the violent death of Jesus and his sacrifice for the sins of humanity.,Incorrect. The cross has no connection with the ancient Egyptian ankh symbol.,Incorrect. The cross is not a symbol of good luck or prosperity.,Christian Symbols,draft
18719,What does the Ichthus symbol represent in Christianity?,medium,The Holy Trinity,The resurrection of Jesus,The five wounds of Christ,The significance of fish in the Bible,4,This is not the correct representation of the Ichthus symbol.,This is not the correct representation of the Ichthus symbol.,This is not the correct representation of the Ichthus symbol.,"The Ichthus symbol, also known as the fish symbol, represents the significance of fish in the Bible. Jesus' disciples were fishermen and he called them to be 'fishers of men'. Additionally, Jesus performed multiple miracles involving fish, such as feeding a multitude of people with loaves of bread and a few fishes. This symbol can be found on bumper stickers and jewelry as a way of identifying oneself as a Christian. ",Christian Symbols,draft
18720,What was the city built by King Solomon in the hill country of Judah?,medium,Bethel,Hebron,Ziklag,Debir,4,Bethel was a city in the land of Benjamin.,Hebron was an ancient city south of Jerusalem.,Ziklag was a city given to David by King Achish of Gath.,"Debir was a city in the hill country of Judah, which was rebuilt by King Solomon as a fortified city.",Biblical Geography,draft
18721,What city was known as the city of David and the capital of Israel during his reign?,medium,Jericho,Bethlehem,Hebron,Jerusalem,4,Jericho is an ancient city in the Jordan River Valley.,Bethlehem is where Jesus was born.,"Hebron was an important city in ancient Israel, but it was never the capital.",Jerusalem was the city of David and the capital of Israel during his reign. It is still an important city in Israel today.,Biblical Geography,draft
18722,Which river did the prophet Elisha ask the Syrian military commander to wash in to be healed of his leprosy?,medium,Nile River,Jordan River,Euphrates River,Tigris River,2,Incorrect. The Nile River is in Egypt and is not mentioned in the story of Elisha and the Syrian commander.,"Correct! Elisha instructed Naaman, the Syrian commander, to go to the Jordan River and wash himself seven times in it in order to be cleansed of his leprosy, which he did and was healed.","Incorrect. While the Euphrates is mentioned in the Bible, it is not the river referred to in this story.","Incorrect. While the Tigris is mentioned in the Bible, it is not the river referred to in this story.",Biblical Geography,draft
18723,What body of water is located at the eastern edge of the Promised Land in the Bible?,medium,Dead Sea,Mediterranean Sea,Red Sea,Sea of Galilee,1,"Correct! The Dead Sea is located at the eastern edge of the Promised Land, also known as the Jordan Rift Valley.",Incorrect. The Mediterranean Sea is located to the west of the Promised Land.,Incorrect. The Red Sea is located to the south of the Promised Land.,Incorrect. The Sea of Galilee is located in the northern part of the Promised Land.,Biblical Geography,draft
18724,Which river was the location of Jesus' baptism?,medium,Jordan River,Nile River,Euphrates River,Tigris River,1,The Jordan River is the river where John the Baptist was baptizing and where Jesus was baptized.,The Nile River is a major river in Egypt.,The Euphrates River is a river in Mesopotamia.,The Tigris River is a river in Mesopotamia.,Biblical Geography,draft
18725,Which Christian denomination places a strong emphasis on baptism as a public declaration of one's faith?,medium,Baptist,Methodist,Lutheran,Presbyterian,1,"Correct! Baptists believe that baptism is a symbol of a person's commitment to following Jesus, and should be celebrated publicly.","Incorrect. Although many Methodists do practice baptism, their emphasis is more on recognizing the presence of God's grace in one's life.","Incorrect. Lutherans also place importance on baptism, but not necessarily as a public declaration of faith.","Incorrect. While some Presbyterian denominations do recognize the importance of baptism, it is not a central tenet of their faith.",Christian Denominations,Draft
18726,What is the origin of the Baptist denomination?,medium,England,Germany,Switzerland,Italy,1,The Baptist denomination originated in 17th century England.,"The Baptist denomination originated in 17th century England, not Germany.","The Baptist denomination originated in 17th century England, not Switzerland.","The Baptist denomination originated in 17th century England, not Italy.",Christian Denominations,draft
18727,Which Christian denomination is known for its strict adherence to pacifism and nonviolence?,medium,Lutheranism,Mennonitism,Methodism,Orthodox Christianity,2,"Lutherans believe in the doctrine of 'two kingdoms,' which allows for the use of force in secular affairs.","Mennonites have a longstanding tradition of pacifism and nonviolence, which stems from their belief in following Jesus' example of love and sacrifice.","While Methodists do believe in social justice and peace, they do not have a strict doctrine on pacifism like the Mennonites do.","Orthodox Christianity is a broad term that encompasses many different traditions and practices. While some individual Orthodox Christians may be pacifists, it is not a defining characteristic of the denomination as a whole.",Christian Denominations,draft
18728,Which Christian denomination is known for its emphasis on baptism by immersion?,medium,Methodist,Presbyterian,Lutheran,Baptist,4,The Methodist denomination typically practices infant baptism.,The Presbyterian denomination practices infant baptism as well as baptism of believers.,"The Lutheran denomination practices both infant baptism and baptism of believers, but not necessarily by immersion.",The Baptist denomination places significant emphasis on baptism by immersion as a symbol of repentance and salvation.,Christian Denominations,draft
18729,What is the largest Protestant denomination in the United States?,medium,Methodist,Baptist,Presbyterian,Lutheran,2,"Incorrect, while the Methodist church is relatively large, it is not the largest",Correct! The Baptist denomination has the highest number of adherents among Protestant denominations in the United States,"Incorrect, while the Presbyterian church is relatively large, it is not the largest","Incorrect, while the Lutheran church is relatively large, it is not the largest",Christian Denominations,draft
18730,What is the Christian festival that marks the end of the Lenten season and the beginning of the Easter season?,medium,Christmas,Good Friday,Maundy Thursday,Easter Sunday,4,"Sorry, this is incorrect. Christmas is celebrated to commemorate the birth of Jesus Christ.","Sorry, this is incorrect. Good Friday is observed to commemorate the crucifixion of Jesus Christ.","Sorry, this is incorrect. Maundy Thursday is observed to commemorate the Last Supper of Jesus Christ with his apostles.",Correct! Easter Sunday marks the resurrection of Jesus Christ from the dead.,Christian Festivals,draft
18731,What is the Christian festival that celebrates the resurrection of Jesus Christ?,medium,Christmas,Easter,Pentecost,All Saints' Day,2,Christmas is the Christian festival that celebrates the birth of Jesus Christ.,Easter is the Christian festival that celebrates the resurrection of Jesus Christ.,Pentecost is the Christian festival that celebrates the descent of the Holy Spirit upon the Apostles.,"All Saints' Day is the Christian festival that honors all the saints, known and unknown.",Christian Festivals,draft
18732,What is the Christian festival commemorating the descent of the Holy Ghost upon the apostles?,medium,Easter,Pentecost,Christmas,Epiphany,2,Easter is the celebration of the resurrection of Jesus Christ,Pentecost is the celebration of the descent of the Holy Ghost,Christmas is the celebration of the birth of Jesus Christ,Epiphany is the celebration of the visit of the Magi to the baby Jesus,Christian Festivals,draft
18733,What is the meaning behind Pentecost in Christianity?,medium,Celebration of the resurrection of Jesus Christ,Celebration of the birth of Jesus Christ,Celebration of the arrival of the wise men to visit Jesus Christ,Celebration of the descent of the Holy Spirit upon the apostles,4,Incorrect answer. Easter is the celebration of the resurrection of Jesus Christ.,Incorrect answer. Christmas is the celebration of the birth of Jesus Christ.,Incorrect answer. The Feast of Epiphany is the celebration of the arrival of the wise men to visit Jesus Christ.,"Correct answer. The feast commemorates the descent of the Holy Spirit upon the Apostles and other followers of Jesus Christ, which occurred 50 days after his resurrection.",Christian Festivals,draft
18734,What is the Christian holiday commemorating the descent of the Holy Spirit on the disciples of Jesus?,medium,Easter,Advent,Pentecost,Christmas,3,Easter is a Christian holiday celebrating the resurrection of Jesus from the dead. ,Advent is a Christian season of preparation leading up to Christmas.,Pentecost is a Christian festival commemorating the descent of the Holy Spirit on the disciples of Jesus.,Christmas is a Christian holiday celebrating the birth of Jesus.,Christian Festivals,draft
18735,"In Christian theology, what is the name given to the doctrine of the end of the world and Judgement Day?",medium,Apocalypse,Revelation,Armageddon,Rapture,2,"Although the Apocalypse is a common term used to refer to the end of the world, it is not the official doctrine name.","Revelation, or the Second Coming of Christ, marks the end of the world and the beginning of a new, eternal age.","Armageddon refers to the final conflict between the forces of good and evil, not necessarily the end of the world.","The Rapture refers to the belief in a sudden, miraculous taking of the church with the faithful being transported directly to heaven.",Christian Theology,Draft
18736,What is the concept of atonement in Christian theology?,medium,The practice of confession and repentance to make amends for one's sins,The belief in multiple gods that each have their own domain in the universe,The teaching that God became human in the person of Jesus to sacrifice himself and make amends for humanity's sins,The study of the end of the world and the eventual judgement of humanity,3,"This answer describes the practice of confession and repentance, but not atonement.","This answer describes the belief of polytheism, which has no relation to atonement in Christianity.","This answer is correct. Atonement refers to the belief that God became human in the person of Jesus to sacrifice himself and make amends for humanity's sins, allowing humanity to be reconciled to God.","This answer describes eschatology, which is related to the end of the world, but not to atonement in Christianity.",Christian Theology,draft
18737,"According to the Nicene Creed, which of the following statements about God the Father is true?",medium,He is a created being.,He is the same person as Jesus Christ.,He possesses distinct roles within the Trinity.,He is subordinate to the Holy Spirit.,3,"This statement contradicts Christian orthodoxy, which holds that God the Father is eternal.","This statement contradicts Christian orthodoxy, which holds that God the Father and Jesus Christ are two distinct persons united in the Trinity.","This statement is consistent with the Nicene Creed, which affirms that God the Father possesses a distinct role as the creator of the universe and the source of salvation.","This statement contradicts Christian orthodoxy, which holds that all members of the Trinity are equal in power and authority.",Christian Theology,draft
